x,y
1,0.0018658370017522051
2,0.0014883763270786632
3,0.0013951976662148128
4,0.0006982227233780828
5,0.0005668123697863475
6,0.000687383124164581
7,0.0005640792461026186
8,0.0006136688843322663
9,0.0006023462684072264
10,0.0002783104754124464
11,0.0002799076937885823
12,0.0002520758391258486
13,0.0001972930978083088
14,0.00021538238539564519
15,0.00018473568143042259
16,0.00012645273874051265
17,0.0002494972848567404
18,0.00024108116057773845
19,0.0002514347911312994
20,0.00022090942869543224
21,0.00026744291244538054
22,0.0002807812023741777
23,0.00029031624762838914
24,0.00026850671906099364
25,0.00025074532379039215
26,0.00041056426974607707
27,0.0003964246018672546
28,0.00042161674697137504
29,0.0006011106974435344
30,0.0005188124499462427
31,0.000600626647861686
32,0.0005714211503746704
33,0.0006581332379771397
34,0.0008763563378627544
35,0.0008529646497765179
36,0.0009434988052154423
